lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,180,0.5142679810523987,0.5976458191871643,0.7077950835227966,0.8475338220596313,0,,,,,,,,
,180,,,,,0,0.5102852582931519,0.5397651195526123,0.7234670519828796,{'loss': 0.8186550140380859},,,,
0.001,181,,,,,,,,,,,,,
,361,0.3901984989643097,0.5837346315383911,0.8066815137863159,0.6629036664962769,1,,,,,,,,
,361,,,,,1,0.5572289228439331,0.5940476059913635,0.7419072389602661,{'loss': 0.7775567173957825},,,,
0.001,362,,,,,,,,,,,,,
,542,0.4820099174976349,0.5548421740531921,0.7603563666343689,0.7520097494125366,2,,,,,,,,
,542,,,,,2,0.5708025097846985,0.6142984628677368,0.7440358996391296,{'loss': 0.6963022947311401},,,,
0.001,543,,,,,,,,,,,,,
,723,0.5769230723381042,0.5184590816497803,0.7287304997444153,0.775446355342865,3,,,,,,,,
,723,,,,,3,0.5744010806083679,0.6187499761581421,0.7473477125167847,{'loss': 0.7221013903617859},,,,
0.001,724,,,,,,,,,,,,,
,904,0.5086848735809326,0.6853932738304138,0.6957683563232422,0.9157001972198486,4,,,,,,,,
,904,,,,,4,0.5865187048912048,0.615784764289856,0.7515588998794556,{'loss': 0.7088176012039185},,,,
0.001,905,,,,,,,,,,,,,
,1085,0.5173697471618652,0.5666131377220154,0.7634744048118591,0.7132477760314941,5,,,,,,,,
,1085,,,,,5,0.5874623656272888,0.6302958130836487,0.7458128333091736,{'loss': 0.7662303447723389},,,,
0.001,1086,,,,,,,,,,,,,
,1266,0.5117865800857544,0.6441947817802429,0.7077950835227966,0.8735930323600769,6,,,,,,,,
,1266,,,,,6,0.5915821194648743,0.6319227814674377,0.7478936314582825,{'loss': 0.6823043823242188},,,,
0.001,1267,,,,,,,,,,,,,
,1447,0.5905707478523254,0.4060995280742645,0.7755011320114136,0.6345702409744263,7,,,,,,,,
,1447,,,,,7,0.5994520783424377,0.6373773217201233,0.7499452829360962,{'loss': 0.7623766660690308},,,,
0.001,1448,,,,,,,,,,,,,
,1628,0.5601736903190613,0.5195291638374329,0.7706013321876526,0.7094138860702515,8,,,,,,,,
,1628,,,,,8,0.5906288623809814,0.6372286677360535,0.7495351433753967,{'loss': 0.7882936000823975},,,,
0.001,1629,,,,,,,,,,,,,
,1809,0.5155087113380432,0.6425896286964417,0.7354120016098022,0.8034593462944031,9,,,,,,,,
,1809,,,,,9,0.6014790534973145,0.6419642567634583,0.7467745542526245,{'loss': 0.7800114154815674},,,,
0.001,1810,,,,,,,,,,,,,
,1990,0.6234491467475891,0.5403959155082703,0.7149220705032349,0.8168363571166992,10,,,,,,,,
,1990,,,,,10,0.5960301160812378,0.6387279033660889,0.7461134195327759,{'loss': 0.790320873260498},,,,
0.001,1991,,,,,,,,,,,,,
,2171,0.5055831074714661,0.6163724064826965,0.7447661757469177,0.7225415706634521,11,,,,,,,,
,2171,,,,,11,0.602520227432251,0.6389837861061096,0.7471541166305542,{'loss': 0.7482777833938599},,,,
0.001,2172,,,,,,,,,,,,,
,2352,0.539081871509552,0.523809552192688,0.7795100212097168,0.6907411813735962,12,,,,,,,,
,2352,,,,,12,0.5998629927635193,0.642092764377594,0.746170699596405,{'loss': 0.8261004686355591},,,,
0.001,2353,,,,,,,,,,,,,
,2533,0.4199751913547516,0.65864098072052,0.7728285193443298,0.6992293000221252,13,,,,,,,,
,2533,,,,,13,0.6075047850608826,0.6361202001571655,0.7507655024528503,{'loss': 0.7244421243667603},,,,
0.001,2534,,,,,,,,,,,,,
,2714,0.6203473806381226,0.5462814569473267,0.7149220705032349,0.8113460540771484,14,,,,,,,,
,2714,,,,,14,0.6049281358718872,0.6498661637306213,0.7501367926597595,{'loss': 0.7414753437042236},,,,
0.001,2715,,,,,,,,,,,,,
,2895,0.4267989993095398,0.6431246399879456,0.7683741450309753,0.7279548645019531,15,,,,,,,,
,2895,,,,,15,0.6098329424858093,0.6479774117469788,0.7520236372947693,{'loss': 0.7723433971405029},,,,
0.001,2896,,,,,,,,,,,,,
,3076,0.5545905828475952,0.6672016978263855,0.6962137818336487,0.8667662143707275,16,,,,,,,,
,3076,,,,,16,0.6107308864593506,0.6482307314872742,0.7519702315330505,{'loss': 0.6854734420776367},,,,
0.001,3077,,,,,,,,,,,,,
,3257,0.45099255442619324,0.6436597108840942,0.7683741450309753,0.7465798854827881,17,,,,,,,,
,3257,,,,,17,0.6052559614181519,0.6508620977401733,0.7557477355003357,{'loss': 0.7898356914520264},,,,
,3258,,,,,18,,,,,0.6466803550720215,0.4863940477371216,0.7898883819580078,0.6710165739059448
,3258,,,,,18,,,,,0.5905707478523254,0.4060995280742645,0.7755011320114136,0.6345702409744263
,3258,,,,,18,,,,,0.45383521914482117,0.11203319579362869,0.7901907563209534,0.31349271535873413
