lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,172,0.6217142939567566,0.5369967222213745,0.7251552939414978,0.35331159830093384,0,,,,,,,,
,172,,,,,0,0.5344107151031494,0.5411868691444397,0.6859130859375,{'loss': 0.8483577966690063},,,,
0.001,173,,,,,,,,,,,,,
,345,0.6759999990463257,0.5163220763206482,0.7204968929290771,0.3239949345588684,1,,,,,,,,
,345,,,,,1,0.570335328578949,0.5966622233390808,0.7186660170555115,{'loss': 0.7823706865310669},,,,
0.001,346,,,,,,,,,,,,,
,518,0.5320000052452087,0.7056583166122437,0.7130434513092041,0.38963428139686584,2,,,,,,,,
,518,,,,,2,0.5825093984603882,0.6176123023033142,0.7243441343307495,{'loss': 0.8457351326942444},,,,
0.001,519,,,,,,,,,,,,,
,691,0.6417142748832703,0.5484222173690796,0.7400621175765991,0.28828030824661255,3,,,,,,,,
,691,,,,,3,0.5894971489906311,0.6219007968902588,0.7203565835952759,{'loss': 0.7975507974624634},,,,
0.001,692,,,,,,,,,,,,,
,864,0.7108571529388428,0.5386289358139038,0.6773291826248169,0.3748176693916321,4,,,,,,,,
,864,,,,,4,0.598162055015564,0.6293396353721619,0.7207372188568115,{'loss': 0.7409997582435608},,,,
0.001,865,,,,,,,,,,,,,
,1037,0.6862857341766357,0.5603917241096497,0.6947205066680908,0.3561391830444336,5,,,,,,,,
,1037,,,,,5,0.5995544195175171,0.6272338032722473,0.7222561240196228,{'loss': 0.7365636229515076},,,,
0.001,1038,,,,,,,,,,,,,
,1210,0.6211428642272949,0.5935800075531006,0.7267080545425415,0.31567856669425964,6,,,,,,,,
,1210,,,,,6,0.6120545864105225,0.6262551546096802,0.7280166149139404,{'loss': 0.7783242464065552},,,,
0.001,1211,,,,,,,,,,,,,
,1383,0.6794285774230957,0.5342763662338257,0.7260869741439819,0.31617575883865356,7,,,,,,,,
,1383,,,,,7,0.5986915230751038,0.6378138661384583,0.7291819453239441,{'loss': 0.8707031011581421},,,,
0.001,1384,,,,,,,,,,,,,
,1556,0.6257143020629883,0.6354733109474182,0.7307453155517578,0.35877344012260437,8,,,,,,,,
,1556,,,,,8,0.6089922189712524,0.6439751982688904,0.729360044002533,{'loss': 0.7273738384246826},,,,
0.001,1557,,,,,,,,,,,,,
,1729,0.6182857155799866,0.6855277419090271,0.6894409656524658,0.4285517632961273,9,,,,,,,,
,1729,,,,,9,0.6091921925544739,0.632969319820404,0.7269174456596375,{'loss': 0.7229058742523193},,,,
0.001,1730,,,,,,,,,,,,,
,1902,0.6188571453094482,0.6240478754043579,0.7313664555549622,0.29385656118392944,10,,,,,,,,
,1902,,,,,10,0.6077448129653931,0.6443853974342346,0.7314362525939941,{'loss': 0.7970539331436157},,,,
0.001,1903,,,,,,,,,,,,,
,2075,0.6394285559654236,0.6947769522666931,0.6465838551521301,0.4843624532222748,11,,,,,,,,
,2075,,,,,11,0.6178805232048035,0.645018458366394,0.7325354218482971,{'loss': 0.7437446713447571},,,,
0.001,2076,,,,,,,,,,,,,
,2248,0.5828571319580078,0.6817192435264587,0.7124223709106445,0.36430424451828003,12,,,,,,,,
,2248,,,,,12,0.6184705495834351,0.6446085572242737,0.7337400913238525,{'loss': 0.8238532543182373},,,,
0.001,2249,,,,,,,,,,,,,
,2421,0.6194285750389099,0.6577801704406738,0.7090061902999878,0.3856741189956665,13,,,,,,,,
,2421,,,,,13,0.6122875213623047,0.6496899724006653,0.7335205078125,{'loss': 0.7424635887145996},,,,
,2422,,,,,14,,,,,0.6209104657173157,0.5958074927330017,0.7476487159729004,0.7148149609565735
,2422,,,,,14,,,,,0.6417142748832703,0.5484222173690796,0.7400621175765991,0.28828030824661255
,2422,,,,,14,,,,,0.5191761255264282,0.3015214502811432,0.7247956395149231,0.36563023924827576
