lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,180,0.659217894077301,0.655614972114563,0.9826280474662781,0.11191277205944061,0,,,,,,,,
,180,,,,,0,0.7967146039009094,0.7432231307029724,0.8498196601867676,{'loss': 0.304378479719162},,,,
0.001,181,,,,,,,,,,,,,
,361,0.8075729608535767,0.710695207118988,0.9710467457771301,0.05896203592419624,1,,,,,,,,
,361,,,,,1,0.9099876880645752,0.8562082052230835,0.9311023354530334,{'loss': 0.20603090524673462},,,,
0.001,362,,,,,,,,,,,,,
,542,0.9379267692565918,0.9406417012214661,0.7033407688140869,0.5282773375511169,2,,,,,,,,
,542,,,,,2,0.9285420775413513,0.8860966563224792,0.9461588859558105,{'loss': 0.3060222268104553},,,,
0.001,543,,,,,,,,,,,,,
,723,0.7206704020500183,0.6636363863945007,0.9821826219558716,0.0994207113981247,3,,,,,,,,
,723,,,,,3,0.9347856044769287,0.9015759825706482,0.9519851207733154,{'loss': 0.21523848176002502},,,,
0.001,724,,,,,,,,,,,,,
,904,0.8795778751373291,0.9401069283485413,0.9318485260009766,0.2290787398815155,4,,,,,,,,
,904,,,,,4,0.9407173991203308,0.917745053768158,0.9565693140029907,{'loss': 0.17739899456501007},,,,
0.001,905,,,,,,,,,,,,,
,1085,0.9230291843414307,0.925668478012085,0.8997772932052612,0.1585344672203064,5,,,,,,,,
,1085,,,,,5,0.9512729048728943,0.9265645742416382,0.9646415114402771,{'loss': 0.09701849520206451},,,,
0.001,1086,,,,,,,,,,,,,
,1266,0.9484792351722717,0.9427807331085205,0.7906458973884583,0.8254013061523438,6,,,,,,,,
,1266,,,,,6,0.9551361203193665,0.930931806564331,0.9660794138908386,{'loss': 0.15232941508293152},,,,
0.001,1267,,,,,,,,,,,,,
,1447,0.9490999579429626,0.8882352709770203,0.9095768332481384,0.2990584373474121,7,,,,,,,,
,1447,,,,,7,0.9587840437889099,0.9412464499473572,0.9725443124771118,{'loss': 0.11901666224002838},,,,
0.001,1448,,,,,,,,,,,,,
,1628,0.8715083599090576,0.8021390438079834,0.9639198184013367,0.09103938192129135,8,,,,,,,,
,1628,,,,,8,0.960438072681427,0.942559540271759,0.9740785360336304,{'loss': 0.09854231774806976},,,,
0.001,1629,,,,,,,,,,,,,
,1809,0.8758534789085388,0.8903743028640747,0.949665904045105,0.119072824716568,9,,,,,,,,
,1809,,,,,9,0.9660227298736572,0.9528484344482422,0.9798819422721863,{'loss': 0.15389743447303772},,,,
0.001,1810,,,,,,,,,,,,,
,1990,0.8646803498268127,0.9459893107414246,0.8913140296936035,0.10182806849479675,10,,,,,,,,
,1990,,,,,10,0.9723628163337708,0.9632713794708252,0.9813882112503052,{'loss': 0.1161922812461853},,,,
0.001,1991,,,,,,,,,,,,,
,2171,0.9397889375686646,0.9358288645744324,0.6708240509033203,0.7557097673416138,11,,,,,,,,
,2171,,,,,11,0.9740082025527954,0.9620648622512817,0.9848949313163757,{'loss': 0.06578269600868225},,,,
,2172,,,,,12,,,,,0.868125855922699,0.7497396469116211,0.9763598442077637,0.3899606466293335
,2172,,,,,12,,,,,0.8075729608535767,0.710695207118988,0.9710467457771301,0.05896203592419624
,2172,,,,,12,,,,,0.8103693127632141,0.8520055413246155,0.9100817441940308,0.037731144577264786
