lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss
0.001,0,,,,,,,,,
,185,1.0,0.4142394959926605,0.12520413100719452,6.792134761810303,0,,,,
,185,,,,,0,0.77695631980896,0.7547410130500793,0.8619032502174377,{'loss': 0.2579711973667145}
0.001,186,,,,,,,,,
,371,0.9807474613189697,0.8362459540367126,0.7180185317993164,3.771653175354004,1,,,,
,371,,,,,1,0.90625,0.8722410798072815,0.9312578439712524,{'loss': 0.3135806918144226}
0.001,372,,,,,,,,,
,557,0.8929784893989563,0.8233009576797485,0.9444746971130371,0.16655701398849487,2,,,,
,557,,,,,2,0.924333393573761,0.89885413646698,0.9461153149604797,{'loss': 0.24263112246990204}
0.001,558,,,,,,,,,
,743,0.975651204586029,0.737864077091217,0.8894937634468079,0.5899690389633179,3,,,,
,743,,,,,3,0.926737368106842,0.9002828598022461,0.951107382774353,{'loss': 0.17250758409500122}
0.001,744,,,,,,,,,
,929,0.9195923209190369,0.7462783455848694,0.9520958065986633,0.19075825810432434,4,,,,
,929,,,,,4,0.9385989308357239,0.9153932929039001,0.9563400745391846,{'loss': 0.2576259970664978}
0.001,930,,,,,,,,,
,1115,0.814835786819458,0.8077669739723206,0.9885683059692383,0.017679953947663307,5,,,,
,1115,,,,,5,0.9404047727584839,0.9199207425117493,0.9606266021728516,{'loss': 0.20426614582538605}
0.001,1116,,,,,,,,,
,1301,0.9926387071609497,0.8239482045173645,0.8415895700454712,2.526124954223633,6,,,,
,1301,,,,,6,0.9507396221160889,0.9356253743171692,0.966889500617981,{'loss': 0.16964857280254364}
0.001,1302,,,,,,,,,
,1487,0.8306908011436462,0.924271821975708,0.9809471964836121,0.021208571270108223,7,,,,
,1487,,,,,7,0.9510255455970764,0.9399858713150024,0.9713867902755737,{'loss': 0.16342224180698395}
0.001,1488,,,,,,,,,
,1673,0.9762174487113953,0.8530744314193726,0.8802395462989807,0.7164915800094604,8,,,,
,1673,,,,,8,0.963991641998291,0.9475247263908386,0.9761829972267151,{'loss': 0.10097897797822952}
0.001,1674,,,,,,,,,
,1859,0.9835786819458008,0.7948219776153564,0.8181818127632141,0.8010339736938477,9,,,,
,1859,,,,,9,0.9666387438774109,0.9538701176643372,0.9800564050674438,{'loss': 0.10309316217899323}
0.001,1860,,,,,,,,,
,2045,0.9343148469924927,0.8983818888664246,0.9520958065986633,0.3230707049369812,10,,,,
,2045,,,,,10,0.9649783968925476,0.9544361233711243,0.9787967205047607,{'loss': 0.049439430236816406}
0.001,2046,,,,,,,,,
,2231,0.9631936550140381,0.9326860904693604,0.8225367665290833,2.061314582824707,11,,,,
,2231,,,,,11,0.9702887535095215,0.9603623747825623,0.9828720688819885,{'loss': 0.1642901599407196}
0.001,2232,,,,,,,,,
