lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,85,0.6142857074737549,0.5119695067405701,0.7444099187850952,0.7428293228149414,0,,,,,,,,
,85,,,,,0,0.5248843431472778,0.5231020450592041,0.6694062948226929,{'loss': 0.8013063669204712},,,,
0.001,86,,,,,,,,,,,,,
,171,0.6022857427597046,0.5369967222213745,0.7614907026290894,0.714905321598053,1,,,,,,,,
,171,,,,,1,0.5509861707687378,0.6109296083450317,0.7148653864860535,{'loss': 0.8043835163116455},,,,
0.001,172,,,,,,,,,,,,,
,257,0.5497142672538757,0.6158868074417114,0.7642857432365417,0.6783547401428223,2,,,,,,,,
,257,,,,,2,0.564906895160675,0.6166195869445801,0.7136720418930054,{'loss': 0.8375169038772583},,,,
0.001,258,,,,,,,,,,,,,
,343,0.6588571667671204,0.5690968632698059,0.717391312122345,0.7913975715637207,3,,,,,,,,
,343,,,,,3,0.5686878561973572,0.6428889632225037,0.7204763293266296,{'loss': 0.8166061639785767},,,,
0.001,344,,,,,,,,,,,,,
,429,0.5805714130401611,0.636017382144928,0.7369565367698669,0.7555586099624634,4,,,,,,,,
,429,,,,,4,0.5838700532913208,0.6503569483757019,0.7161962985992432,{'loss': 0.7771369218826294},,,,
0.001,430,,,,,,,,,,,,,
,515,0.5885714292526245,0.7350381016731262,0.6701863408088684,0.9710501432418823,5,,,,,,,,
,515,,,,,5,0.5874527096748352,0.6407061219215393,0.718588650226593,{'loss': 0.7575328350067139},,,,
0.001,516,,,,,,,,,,,,,
,601,0.6759999990463257,0.5783460140228271,0.6866459846496582,0.8782448172569275,6,,,,,,,,
,601,,,,,6,0.5909027457237244,0.6535831093788147,0.7178637385368347,{'loss': 0.8464470505714417},,,,
0.001,602,,,,,,,,,,,,,
,687,0.6857143044471741,0.5805222988128662,0.6860248446464539,0.9090800285339355,7,,,,,,,,
,687,,,,,7,0.5962750315666199,0.6427934765815735,0.7247390747070312,{'loss': 0.7637075185775757},,,,
0.001,688,,,,,,,,,,,,,
,773,0.7245714068412781,0.528291642665863,0.6801242232322693,0.9093320369720459,8,,,,,,,,
,773,,,,,8,0.5971989035606384,0.6540002822875977,0.7215874195098877,{'loss': 0.7386287450790405},,,,
0.001,774,,,,,,,,,,,,,
,859,0.6137142777442932,0.5223068594932556,0.794720470905304,0.6422392129898071,9,,,,,,,,
,859,,,,,9,0.5985984802246094,0.653012752532959,0.7216013669967651,{'loss': 0.7523150444030762},,,,
0.001,860,,,,,,,,,,,,,
,945,0.5531428456306458,0.628400444984436,0.7692546844482422,0.7046216130256653,10,,,,,,,,
,945,,,,,10,0.6005046367645264,0.6491384506225586,0.7220858931541443,{'loss': 0.7795920372009277},,,,
0.001,946,,,,,,,,,,,,,
,1031,0.649142861366272,0.6653971672058105,0.6630434989929199,0.9806801080703735,11,,,,,,,,
,1031,,,,,11,0.6036174893379211,0.662216305732727,0.7233206629753113,{'loss': 0.7941927313804626},,,,
0.001,1032,,,,,,,,,,,,,
,1117,0.5982857346534729,0.681175172328949,0.7077639698982239,0.8557162880897522,12,,,,,,,,
,1117,,,,,12,0.6090489029884338,0.6528913378715515,0.7235583066940308,{'loss': 0.7851937413215637},,,,
0.001,1118,,,,,,,,,,,,,
,1203,0.7599999904632568,0.5125135779380798,0.6593167781829834,0.9770302772521973,13,,,,,,,,
,1203,,,,,13,0.6078678369522095,0.6621581315994263,0.7252302169799805,{'loss': 0.7539611458778381},,,,
0.001,1204,,,,,,,,,,,,,
,1289,0.6451428532600403,0.5865070819854736,0.7285714149475098,0.8046252727508545,14,,,,,,,,
,1289,,,,,14,0.6153091192245483,0.6594386100769043,0.723190188407898,{'loss': 0.7285158634185791},,,,
0.001,1290,,,,,,,,,,,,,
,1375,0.6565714478492737,0.5990206599235535,0.7214285731315613,0.8259376287460327,15,,,,,,,,
,1375,,,,,15,0.6169795393943787,0.6599436402320862,0.7275968194007874,{'loss': 0.7435625791549683},,,,
0.001,1376,,,,,,,,,,,,,
,1461,0.6817142963409424,0.6599564552307129,0.6493788957595825,1.0550220012664795,16,,,,,,,,
,1461,,,,,16,0.6140916347503662,0.6618127822875977,0.7261568903923035,{'loss': 0.7433016896247864},,,,
0.001,1462,,,,,,,,,,,,,
,1547,0.698285698890686,0.5941240191459656,0.6614906787872314,0.9541994333267212,17,,,,,,,,
,1547,,,,,17,0.6164095401763916,0.6630968451499939,0.730736255645752,{'loss': 0.8129514455795288},,,,
0.001,1548,,,,,,,,,,,,,
,1633,0.6320000290870667,0.6039173007011414,0.7447205185890198,0.7813605666160583,18,,,,,,,,
,1633,,,,,18,0.618433952331543,0.6625092625617981,0.7247604727745056,{'loss': 0.7326345443725586},,,,
0.001,1634,,,,,,,,,,,,,
,1719,0.6605714559555054,0.564200222492218,0.7301242351531982,0.8337678909301758,19,,,,,,,,
,1719,,,,,19,0.6182149052619934,0.6629546880722046,0.7308496236801147,{'loss': 0.7326356172561646},,,,
,1720,,,,,20,,,,,0.5878151059150696,0.5645257234573364,0.7917791604995728,0.709155797958374
,1720,,,,,20,,,,,0.6137142777442932,0.5223068594932556,0.794720470905304,0.6422392129898071
,1720,,,,,20,,,,,0.42897728085517883,0.18395574390888214,0.8247048258781433,0.22731375694274902
