lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,182,0.4700652062892914,0.6203238368034363,0.6646884083747864,1.0435110330581665,0,,,,,,,,
,182,,,,,0,0.5359856486320496,0.5474163293838501,0.7321028709411621,{'loss': 0.723146915435791},,,,
0.001,183,,,,,,,,,,,,,
,365,0.527563750743866,0.5857062935829163,0.6760632991790771,1.048905849456787,1,,,,,,,,
,365,,,,,1,0.5762594938278198,0.6043503880500793,0.7519999742507935,{'loss': 0.7186468839645386},,,,
0.001,366,,,,,,,,,,,,,
,548,0.5945465564727783,0.5304298996925354,0.667161226272583,1.1565496921539307,2,,,,,,,,
,548,,,,,2,0.5872511267662048,0.6228713989257812,0.7513859272003174,{'loss': 0.7006103992462158},,,,
0.001,549,,,,,,,,,,,,,
,731,0.4848844110965729,0.6203238368034363,0.7067260146141052,1.031752347946167,3,,,,,,,,
,731,,,,,3,0.6000552773475647,0.6237885355949402,0.7558114528656006,{'loss': 0.8066264986991882},,,,
0.001,732,,,,,,,,,,,,,
,914,0.6775341033935547,0.5214963555335999,0.611770510673523,1.3044989109039307,4,,,,,,,,
,914,,,,,4,0.5971800088882446,0.6205782890319824,0.7567452192306519,{'loss': 0.8218969702720642},,,,
0.001,915,,,,,,,,,,,,,
,1097,0.500296413898468,0.5979899764060974,0.7027695178985596,0.994155764579773,5,,,,,,,,
,1097,,,,,5,0.6073551774024963,0.6320505142211914,0.7576467990875244,{'loss': 0.6791350841522217},,,,
0.001,1098,,,,,,,,,,,,,
,1280,0.513930082321167,0.7191513180732727,0.6221562623977661,1.3171947002410889,6,,,,,,,,
,1280,,,,,6,0.6060522198677063,0.6255687475204468,0.7565606832504272,{'loss': 0.8501194715499878},,,,
0.001,1281,,,,,,,,,,,,,
,1463,0.6437463164329529,0.5840312838554382,0.6305637955665588,1.2066473960876465,7,,,,,,,,
,1463,,,,,7,0.6093512177467346,0.6372175216674805,0.7605798840522766,{'loss': 0.6847389936447144},,,,
0.001,1464,,,,,,,,,,,,,
,1646,0.7012448310852051,0.5086543560028076,0.6271018981933594,1.208147644996643,8,,,,,,,,
,1646,,,,,8,0.6058011054992676,0.6372175216674805,0.7624332904815674,{'loss': 0.775417149066925},,,,
0.001,1647,,,,,,,,,,,,,
,1829,0.5494961738586426,0.6884422302246094,0.6256182193756104,1.3296968936920166,9,,,,,,,,
,1829,,,,,9,0.6125690340995789,0.6295154094696045,0.7601877450942993,{'loss': 0.7101491689682007},,,,
0.001,1830,,,,,,,,,,,,,
,2012,0.5832839608192444,0.6214405298233032,0.6552917957305908,1.1945185661315918,10,,,,,,,,
,2012,,,,,10,0.6130993366241455,0.6329615712165833,0.7590952515602112,{'loss': 0.8072991371154785},,,,
0.001,2013,,,,,,,,,,,,,
,2195,0.6111440658569336,0.6270239949226379,0.6246290802955627,1.2356822490692139,11,,,,,,,,
,2195,,,,,11,0.613152801990509,0.6431821584701538,0.7659233808517456,{'loss': 0.7721445560455322},,,,
0.001,2196,,,,,,,,,,,,,
,2378,0.5477178692817688,0.5985482931137085,0.7106825113296509,1.0255922079086304,12,,,,,,,,
,2378,,,,,12,0.6133001446723938,0.6428990364074707,0.7655466794967651,{'loss': 0.8112719655036926},,,,
0.001,2379,,,,,,,,,,,,,
,2561,0.5548310875892639,0.6594081521034241,0.6523244380950928,1.2216417789459229,13,,,,,,,,
,2561,,,,,13,0.6239115595817566,0.6439782977104187,0.7614169716835022,{'loss': 0.6987584829330444},,,,
0.001,2562,,,,,,,,,,,,,
,2744,0.5542383193969727,0.6024567484855652,0.6859545111656189,1.0868080854415894,14,,,,,,,,
,2744,,,,,14,0.615650475025177,0.6493030190467834,0.7638651728630066,{'loss': 0.8753217458724976},,,,
0.001,2745,,,,,,,,,,,,,
,2927,0.666864275932312,0.5795645117759705,0.604846715927124,1.3621171712875366,15,,,,,,,,
,2927,,,,,15,0.6144595146179199,0.6445128917694092,0.7665884494781494,{'loss': 0.668837308883667},,,,
,2928,,,,,16,,,,,0.5555248856544495,0.5960352420806885,0.8150202631950378,0.745577335357666
,2928,,,,,16,,,,,0.500296413898468,0.5979899764060974,0.7027695178985596,0.994155764579773
,2928,,,,,16,,,,,0.3146306872367859,0.19917012751102448,0.8410536050796509,0.20751960575580597
