lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,139,0.9202979803085327,0.17464634776115417,0.5838509202003479,0.8585684299468994,0,,,,,,,,
,139,,,,,0,0.878025472164154,0.1904691457748413,0.478048175573349,{'loss': 0.6371368765830994},,,,
0.001,140,,,,,,,,,,,,,
,279,0.9324022531509399,0.1501632183790207,0.595652163028717,0.7946405410766602,1,,,,,,,,
,279,,,,,1,0.8841113448143005,0.25473374128341675,0.5691385269165039,{'loss': 0.7522894144058228},,,,
0.001,280,,,,,,,,,,,,,
,419,0.9165735840797424,0.21817192435264587,0.6142857074737549,0.7897409200668335,2,,,,,,,,
,419,,,,,2,0.8834895491600037,0.27372315526008606,0.5806530714035034,{'loss': 0.7233723402023315},,,,
0.001,420,,,,,,,,,,,,,
,559,0.9346368908882141,0.19967356324195862,0.5732918977737427,0.875259280204773,3,,,,,,,,
,559,,,,,3,0.8863430023193359,0.28518572449684143,0.5847395658493042,{'loss': 0.6239897012710571},,,,
0.001,560,,,,,,,,,,,,,
,699,0.9445065259933472,0.1822633296251297,0.5673912763595581,0.8972395658493042,4,,,,,,,,
,699,,,,,4,0.8827553391456604,0.2946745455265045,0.5927828550338745,{'loss': 0.6179417967796326},,,,
0.001,700,,,,,,,,,,,,,
,839,0.9132215976715088,0.24319912493228912,0.6192546486854553,0.8102874755859375,5,,,,,,,,
,839,,,,,5,0.8879751563072205,0.2980612814426422,0.5928011536598206,{'loss': 0.703521728515625},,,,
0.001,840,,,,,,,,,,,,,
,979,0.9214152693748474,0.23667030036449432,0.6192546486854553,0.8032824993133545,6,,,,,,,,
,979,,,,,6,0.8839401006698608,0.30659958720207214,0.5984839200973511,{'loss': 0.7157371044158936},,,,
0.001,980,,,,,,,,,,,,,
,1119,0.9318435788154602,0.1936887949705124,0.5965838432312012,0.8252941370010376,7,,,,,,,,
,1119,,,,,7,0.8857962489128113,0.30985498428344727,0.599241316318512,{'loss': 0.6797336339950562},,,,
0.001,1120,,,,,,,,,,,,,
,1259,0.9137802720069885,0.2562567889690399,0.6083850860595703,0.8193612098693848,8,,,,,,,,
,1259,,,,,8,0.8855407238006592,0.3064969778060913,0.6029843688011169,{'loss': 0.7938055992126465},,,,
0.001,1260,,,,,,,,,,,,,
,1399,0.915456235408783,0.2758433222770691,0.5950310826301575,0.86441969871521,9,,,,,,,,
,1399,,,,,9,0.8819730281829834,0.31893491744995117,0.6034482717514038,{'loss': 0.7721987366676331},,,,
0.001,1400,,,,,,,,,,,,,
,1539,0.9249534606933594,0.22198040783405304,0.602173924446106,0.874860405921936,10,,,,,,,,
,1539,,,,,10,0.8884639143943787,0.3203078806400299,0.5997306108474731,{'loss': 0.7431875467300415},,,,
0.001,1540,,,,,,,,,,,,,
,1679,0.9381750226020813,0.17627856135368347,0.6046583652496338,0.8356767892837524,11,,,,,,,,
,1679,,,,,11,0.8847478628158569,0.321064293384552,0.605040967464447,{'loss': 0.6985504627227783},,,,
0.001,1680,,,,,,,,,,,,,
,1819,0.9186219573020935,0.24319912493228912,0.6142857074737549,0.8170877695083618,12,,,,,,,,
,1819,,,,,12,0.885242760181427,0.31937870383262634,0.6112537980079651,{'loss': 0.6920913457870483},,,,
,1820,,,,,13,,,,,0.8839234709739685,0.2599763572216034,0.6058233380317688,0.6066368818283081
,1820,,,,,13,,,,,0.9165735840797424,0.21817192435264587,0.6142857074737549,0.7897409200668335
,1820,,,,,13,,,,,0.6860795617103577,0.16735823452472687,0.6557675004005432,0.4506755769252777
