lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss
0.001,0,,,,,,,,,
,292,0.9798080921173096,0.6344866156578064,0.8501483798027039,1.2977337837219238,0,,,,
,292,,,,,0,0.9399004578590393,0.724739670753479,0.8231596946716309,{'loss': 0.22477248311042786}
0.001,293,,,,,,,,,
,585,0.9990003705024719,0.6590401530265808,0.7784371972084045,1.4934110641479492,1,,,,
,585,,,,,1,0.9655900597572327,0.8472038507461548,0.9108531475067139,{'loss': 0.2304222583770752}
0.001,586,,,,,,,,,
,878,0.989004373550415,0.8454241156578064,0.8422353863716125,1.5134124755859375,2,,,,
,878,,,,,2,0.9720318913459778,0.8741381764411926,0.9212967753410339,{'loss': 0.13922104239463806}
0.001,879,,,,,,,,,
,1171,0.9334266185760498,0.8571428656578064,0.9554896354675293,0.35272446274757385,3,,,,
,1171,,,,,3,0.9755010008811951,0.8899809122085571,0.9349679946899414,{'loss': 0.08430486917495728}
0.001,1172,,,,,,,,,
,1464,0.9876049757003784,0.8616071343421936,0.8733927011489868,1.3455393314361572,4,,,,
,1464,,,,,4,0.9767627716064453,0.9087842702865601,0.9450069069862366,{'loss': 0.07566758990287781}
0.001,1465,,,,,,,,,
,1757,0.9952019453048706,0.8359375,0.8471810221672058,1.7848750352859497,5,,,,
,1757,,,,,5,0.9785016775131226,0.9122523665428162,0.9510921835899353,{'loss': 0.11064314842224121}
0.001,1758,,,,,,,,,
,2050,0.9756097793579102,0.8973214030265808,0.8783382773399353,1.6295133829116821,6,,,,
,2050,,,,,6,0.980096697807312,0.9234379529953003,0.9549184441566467,{'loss': 0.1160336285829544}
0.001,2051,,,,,,,,,
,2343,0.9722111225128174,0.8158482313156128,0.9203758835792542,0.7414560317993164,7,,,,
,2343,,,,,7,0.9821227192878723,0.9313480854034424,0.9613866806030273,{'loss': 0.15640655159950256}
0.001,2344,,,,,,,,,
,2636,0.9780088067054749,0.8683035969734192,0.9312561750411987,0.6776902675628662,8,,,,
,2636,,,,,8,0.9829140305519104,0.9336854219436646,0.9652600288391113,{'loss': 0.08295226097106934}
0.001,2637,,,,,,,,,
,2929,0.9934026598930359,0.8649553656578064,0.8437190651893616,1.9969372749328613,9,,,,
,2929,,,,,9,0.9840472936630249,0.9425928592681885,0.9696162343025208,{'loss': 0.05988962575793266}
0.001,2930,,,,,,,,,
,3222,0.9402239322662354,0.8861607313156128,0.9446092844009399,0.40194088220596313,10,,,,
,3222,,,,,10,0.9853023886680603,0.9469208121299744,0.9727311730384827,{'loss': 0.053882256150245667}
0.001,3223,,,,,,,,,
,3515,0.9498201012611389,0.8465401530265808,0.9411473870277405,0.4000717103481293,11,,,,
,3515,,,,,11,0.9869946837425232,0.9549721479415894,0.9756045341491699,{'loss': 0.042926013469696045}
0.001,3516,,,,,,,,,
,3808,0.9904038310050964,0.8588169813156128,0.908506453037262,1.9248929023742676,12,,,,
,3808,,,,,12,0.9877499341964722,0.9614199995994568,0.9835838675498962,{'loss': 0.04548913985490799}
0.001,3809,,,,,,,,,
,4101,0.9586165547370911,0.8666294813156128,0.9406528472900391,0.8455103039741516,13,,,,
,4101,,,,,13,0.9882187247276306,0.9660942554473877,0.9817813634872437,{'loss': 0.02786591835319996}
