lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,139,0.9111731648445129,0.7535364627838135,0.9276397228240967,0.9544694423675537,0,,,,,,,,
,139,,,,,0,0.9382414817810059,0.6642508506774902,0.7644036412239075,{'loss': 0.19107499718666077},,,,
0.001,140,,,,,,,,,,,,,
,279,0.8899441361427307,0.5353645086288452,0.9636645913124084,2.397892475128174,1,,,,,,,,
,279,,,,,1,0.9665694236755371,0.8424637317657471,0.8970282673835754,{'loss': 0.1692165732383728},,,,
0.001,280,,,,,,,,,,,,,
,419,0.6743016839027405,0.5571272969245911,0.9934782385826111,2.3530240058898926,2,,,,,,,,
,419,,,,,2,0.9727672934532166,0.8784383535385132,0.9203323721885681,{'loss': 0.1478002965450287},,,,
0.001,420,,,,,,,,,,,,,
,559,0.9975791573524475,0.7317736744880676,0.7475154995918274,1.4842560291290283,3,,,,,,,,
,559,,,,,3,0.9754568934440613,0.8982700109481812,0.9312538504600525,{'loss': 0.13158786296844482},,,,
0.001,560,,,,,,,,,,,,,
,699,0.9897578954696655,0.8471164107322693,0.8341615200042725,0.783410906791687,4,,,,,,,,
,699,,,,,4,0.9811447262763977,0.9158657193183899,0.9421831369400024,{'loss': 0.10394921898841858},,,,
0.001,700,,,,,,,,,,,,,
,839,0.8573556542396545,0.8226333260536194,0.9481366276741028,0.7612745761871338,5,,,,,,,,
,839,,,,,5,0.9802486896514893,0.9201599955558777,0.9471818208694458,{'loss': 0.08562512695789337},,,,
0.001,840,,,,,,,,,,,,,
,979,0.9759776592254639,0.8939064145088196,0.863043487071991,0.46908843517303467,6,,,,,,,,
,979,,,,,6,0.9820573925971985,0.9280224442481995,0.9554685354232788,{'loss': 0.11680647730827332},,,,
0.001,980,,,,,,,,,,,,,
,1119,0.9871508479118347,0.7921653985977173,0.8925465941429138,1.3726853132247925,7,,,,,,,,
