lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,144,0.8974639773368835,0.06531389057636261,0.5633937120437622,0.7689076662063599,0,,,,,,,,
,144,,,,,0,0.8456656336784363,0.16311149299144745,0.5184627175331116,{'loss': 0.739398717880249},,,,
0.001,145,,,,,,,,,,,,,
,289,0.8284984230995178,0.2796449065208435,0.6091516017913818,0.7340477705001831,1,,,,,,,,
,289,,,,,1,0.8706933856010437,0.19005556404590607,0.5831000804901123,{'loss': 0.7196187376976013},,,,
0.001,290,,,,,,,,,,,,,
,434,0.8414523005485535,0.2365250438451767,0.631077229976654,0.6692034006118774,2,,,,,,,,
,434,,,,,2,0.8688501119613647,0.2275184988975525,0.5988816022872925,{'loss': 0.6786810755729675},,,,
0.001,435,,,,,,,,,,,,,
,579,0.876482367515564,0.1642358899116516,0.6344137191772461,0.6680129170417786,3,,,,,,,,
,579,,,,,3,0.8655833601951599,0.2507118582725525,0.6004303097724915,{'loss': 0.8231002688407898},,,,
0.001,580,,,,,,,,,,,,,
,724,0.8682721853256226,0.22828154265880585,0.6196377277374268,0.676674485206604,4,,,,,,,,
,724,,,,,4,0.8675509691238403,0.26229506731033325,0.6028826236724854,{'loss': 0.6627739071846008},,,,
0.001,725,,,,,,,,,,,,,
,869,0.810983419418335,0.36017754673957825,0.6582459211349487,0.6193962693214417,5,,,,,,,,
,869,,,,,5,0.8664230704307556,0.2786395251750946,0.6077883243560791,{'loss': 0.7386553287506104},,,,
0.001,870,,,,,,,,,,,,,
,1014,0.8213829398155212,0.3062777519226074,0.6687321066856384,0.6257050037384033,6,,,,,,,,
,1014,,,,,6,0.8661443591117859,0.29177340865135193,0.6080964803695679,{'loss': 0.6678026914596558},,,,
0.001,1015,,,,,,,,,,,,,
,1159,0.8288633227348328,0.38173747062683105,0.6153479218482971,0.7796804308891296,7,,,,,,,,
,1159,,,,,7,0.8740323781967163,0.2821570932865143,0.6147637963294983,{'loss': 0.7739748954772949},,,,
0.001,1160,,,,,,,,,,,,,
,1304,0.8467432856559753,0.3956880271434784,0.5743565559387207,0.8617167472839355,8,,,,,,,,
,1304,,,,,8,0.8697721362113953,0.2977360188961029,0.6149542927742004,{'loss': 0.6684128046035767},,,,
0.001,1305,,,,,,,,,,,,,
,1449,0.8071519732475281,0.40456563234329224,0.6477597951889038,0.7227181792259216,9,,,,,,,,
,1449,,,,,9,0.8714189529418945,0.30014243721961975,0.6143502593040466,{'loss': 0.748379111289978},,,,
0.001,1450,,,,,,,,,,,,,
,1594,0.8441889882087708,0.34749525785446167,0.6458532214164734,0.6869736909866333,10,,,,,,,,
,1594,,,,,10,0.8691449165344238,0.3094661831855774,0.6155251860618591,{'loss': 0.6888328194618225},,,,
0.001,1595,,,,,,,,,,,,,
,1739,0.8739281296730042,0.22701331973075867,0.6539561748504639,0.6232941150665283,11,,,,,,,,
,1739,,,,,11,0.8687791228294373,0.3167639970779419,0.6187916398048401,{'loss': 0.6453909277915955},,,,
0.001,1740,,,,,,,,,,,,,
,1884,0.8741105794906616,0.3018389344215393,0.6062917113304138,0.7715024948120117,12,,,,,,,,
,1884,,,,,12,0.8651506900787354,0.3173268735408783,0.6183205842971802,{'loss': 0.6604099273681641},,,,
0.001,1885,,,,,,,,,,,,,
,2029,0.8523991703987122,0.32783767580986023,0.6339370608329773,0.7201854586601257,13,,,,,,,,
,2029,,,,,13,0.8691117167472839,0.3215557634830475,0.6160051822662354,{'loss': 0.7271767258644104},,,,
0.001,2030,,,,,,,,,,,,,
,2174,0.7657361626625061,0.4603677988052368,0.6663488745689392,0.6705698370933533,14,,,,,,,,
,2174,,,,,14,0.8716654777526855,0.3208487629890442,0.6212202906608582,{'loss': 0.6620397567749023},,,,
0.001,2175,,,,,,,,,,,,,
,2319,0.7850757241249084,0.42168673872947693,0.6715919971466064,0.6288670301437378,15,,,,,,,,
,2319,,,,,15,0.8700105547904968,0.32193732261657715,0.6216419339179993,{'loss': 0.7116708755493164},,,,
,2320,,,,,16,,,,,0.8427960276603699,0.3160216212272644,0.6484770178794861,0.7374839782714844
,2320,,,,,16,,,,,0.810983419418335,0.36017754673957825,0.6582459211349487,0.6193962693214417
,2320,,,,,16,,,,,0.7308238744735718,0.1618257313966751,0.6376021504402161,0.4469839036464691
