lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,142,0.9891008138656616,0.7351524829864502,0.6892253160476685,0.2744165360927582,0,,,,,,,,
,142,,,,,0,0.9288848042488098,0.650304913520813,0.7724190950393677,{'loss': 0.26315683126449585},,,,
0.001,143,,,,,,,,,,,,,
,285,0.9558582901954651,0.6698769330978394,0.8762243986129761,0.46273475885391235,1,,,,,,,,
,285,,,,,1,0.9667887687683105,0.8347205519676208,0.9097875952720642,{'loss': 0.1705298274755478},,,,
0.001,286,,,,,,,,,,,,,
,428,0.9634877443313599,0.9202782511711121,0.8993766903877258,0.07219947129487991,2,,,,,,,,
,428,,,,,2,0.9727360606193542,0.8678768277168274,0.9265914559364319,{'loss': 0.16154511272907257},,,,
0.001,429,,,,,,,,,,,,,
,571,0.9943687319755554,0.8560727834701538,0.8040961623191833,0.13910257816314697,3,,,,,,,,
,571,,,,,3,0.9733050465583801,0.8830801248550415,0.9405972957611084,{'loss': 0.08421111106872559},,,,
0.001,572,,,,,,,,,,,,,
,714,0.9700272679328918,0.891920804977417,0.9047194719314575,0.05192956328392029,4,,,,,,,,
,714,,,,,4,0.9758896827697754,0.8997177481651306,0.9458365440368652,{'loss': 0.10170602798461914},,,,
0.001,715,,,,,,,,,,,,,
,857,0.748955488204956,0.817549467086792,0.9692786931991577,0.1697782278060913,5,,,,,,,,
,857,,,,,5,0.9775378108024597,0.9101173877716064,0.9529076814651489,{'loss': 0.07731645554304123},,,,
0.001,858,,,,,,,,,,,,,
,1000,0.9791098833084106,0.7945425510406494,0.8254675269126892,0.2556716203689575,6,,,,,,,,
,1000,,,,,6,0.9789889454841614,0.9274241328239441,0.9618964195251465,{'loss': 0.0633123517036438},,,,
0.001,1001,,,,,,,,,,,,,
,1143,0.9458674192428589,0.9416800141334534,0.9185218214988708,0.03471888601779938,7,,,,,,,,
,1143,,,,,7,0.9810065627098083,0.9297200441360474,0.9646917581558228,{'loss': 0.07637494057416916},,,,
0.001,1144,,,,,,,,,,,,,
,1286,0.9358764886856079,0.8485821485519409,0.9674977660179138,0.13229267299175262,8,,,,,,,,
,1286,,,,,8,0.9825018048286438,0.9371743202209473,0.9687294960021973,{'loss': 0.05650556832551956},,,,
0.001,1287,,,,,,,,,,,,,
,1429,0.989645779132843,0.898876428604126,0.7983080744743347,0.08782518655061722,9,,,,,,,,
,1429,,,,,9,0.9846754670143127,0.9495084881782532,0.9776878356933594,{'loss': 0.0700245201587677},,,,
0.001,1430,,,,,,,,,,,,,
,1572,0.972388744354248,0.9336543679237366,0.8771148920059204,0.039712682366371155,10,,,,,,,,
,1572,,,,,10,0.9861144423484802,0.953862190246582,0.9796676635742188,{'loss': 0.024586766958236694},,,,
0.001,1573,,,,,,,,,,,,,
,1715,0.8733878135681152,0.909042239189148,0.9652715921401978,0.049994561821222305,11,,,,,,,,
,1715,,,,,11,0.9868903160095215,0.9625111818313599,0.9798642992973328,{'loss': 0.03258319944143295},,,,
0.001,1716,,,,,,,,,,,,,
,1858,0.8868301510810852,0.966292142868042,0.8846839070320129,0.004492951091378927,12,,,,,,,,
,1858,,,,,12,0.9891058206558228,0.9673008322715759,0.9828133583068848,{'loss': 0.0852801576256752},,,,
0.001,1859,,,,,,,,,,,,,
,2001,0.8018165230751038,0.898876428604126,0.9652715921401978,0.11351755261421204,13,,,,,,,,
,2001,,,,,13,0.9911308288574219,0.9693223834037781,0.9866622686386108,{'loss': 0.04252084344625473},,,,
0.001,2002,,,,,,,,,,,,,
,2144,0.9771116971969604,0.8384162783622742,0.8793410658836365,0.16540080308914185,14,,,,,,,,
,2144,,,,,14,0.9889188408851624,0.9720445871353149,0.9833461046218872,{'loss': 0.025953305885195732},,,,
0.001,2145,,,,,,,,,,,,,
,2287,0.9780199527740479,0.7763509750366211,0.9260908365249634,0.3036096394062042,15,,,,,,,,
,2287,,,,,15,0.9915164113044739,0.9754500985145569,0.9907012581825256,{'loss': 0.0368473082780838},,,,
0.001,2288,,,,,,,,,,,,,
,2430,0.9471389651298523,0.8715890645980835,0.9425645470619202,0.098166324198246,16,,,,,,,,
,2430,,,,,16,0.9918550252914429,0.976073682308197,0.9904709458351135,{'loss': 0.009715593419969082},,,,
0.001,2431,,,,,,,,,,,,,
,2573,0.9925522208213806,0.8951311111450195,0.7951914668083191,0.14902012050151825,17,,,,,,,,
,2573,,,,,17,0.9928213357925415,0.9819913506507874,0.9916785359382629,{'loss': 0.0236261747777462},,,,
0.001,2574,,,,,,,,,,,,,
,2716,0.9663941860198975,0.8512573838233948,0.9412288665771484,0.10124676674604416,18,,,,,,,,
,2716,,,,,18,0.9927228689193726,0.9840821027755737,0.9888353943824768,{'loss': 0.006275386083871126},,,,
0.001,2717,,,,,,,,,,,,,
,2859,0.968574047088623,0.8796147704124451,0.916740894317627,0.0904049202799797,19,,,,,,,,
,2859,,,,,19,0.9938824772834778,0.9858546853065491,0.990911066532135,{'loss': 0.057876668870449066},,,,
0.001,2860,,,,,,,,,,,,,
,3002,0.9433242678642273,0.9566613435745239,0.8788958191871643,0.004681163001805544,20,,,,,,,,
,3002,,,,,20,0.9946498274803162,0.9870728254318237,0.993209958076477,{'loss': 0.02760940231382847},,,,
0.001,3003,,,,,,,,,,,,,
,3145,0.9204359650611877,0.8437667489051819,0.9648263454437256,0.12839844822883606,21,,,,,,,,
,3145,,,,,21,0.9946534633636475,0.9900252819061279,0.9933187365531921,{'loss': 0.01260371319949627},,,,
0.001,3146,,,,,,,,,,,,,
,3288,0.9825612902641296,0.903691828250885,0.8944790959358215,0.06078098341822624,22,,,,,,,,
,3288,,,,,22,0.9946964979171753,0.9901785850524902,0.9935498237609863,{'loss': 0.025537054985761642},,,,
,3289,,,,,23,,,,,0.9227321147918701,0.9980643391609192,0.963699996471405,0.10234124958515167
,3289,,,,,23,,,,,0.8868301510810852,0.966292142868042,0.8846839070320129,0.004492951091378927
,3289,,,,,23,,,,,0.8201847672462463,0.9446749687194824,0.6860253810882568,0.045961201190948486
