lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,77,0.5287356376647949,0.607481837272644,0.6644682884216309,0.7979124188423157,0,,,,,,,,
,77,,,,,0,0.5285323858261108,0.5402315855026245,0.610536515712738,{'loss': 0.8533101081848145},,,,
0.001,78,,,,,,,,,,,,,
,155,0.5257108211517334,0.7169179320335388,0.5960428714752197,0.9266730546951294,1,,,,,,,,
,155,,,,,1,0.548183262348175,0.6168964505195618,0.6571844220161438,{'loss': 0.8819084167480469},,,,
0.001,156,,,,,,,,,,,,,
,233,0.774954617023468,0.32998326420783997,0.6294311881065369,0.8309836983680725,2,,,,,,,,
,233,,,,,2,0.5634430050849915,0.6359771490097046,0.6611182689666748,{'loss': 0.8967961072921753},,,,
0.001,234,,,,,,,,,,,,,
,311,0.5535390377044678,0.6577330827713013,0.6710634827613831,0.7423797845840454,3,,,,,,,,
,311,,,,,3,0.5717160105705261,0.6268875598907471,0.661819338798523,{'loss': 0.8015357255935669},,,,
0.001,312,,,,,,,,,,,,,
,389,0.6842105388641357,0.5499720573425293,0.6310799717903137,0.8258657455444336,4,,,,,,,,
,389,,,,,4,0.5828784704208374,0.6539081931114197,0.6756101250648499,{'loss': 0.7868438959121704},,,,
0.001,390,,,,,,,,,,,,,
,467,0.5856019258499146,0.6901172399520874,0.618713915348053,0.8561450242996216,5,,,,,,,,
,467,,,,,5,0.5839080214500427,0.6554202437400818,0.6805039644241333,{'loss': 0.8313255906105042},,,,
0.001,468,,,,,,,,,,,,,
,545,0.5426497459411621,0.6739251613616943,0.6879637241363525,0.6959482431411743,6,,,,,,,,
,545,,,,,6,0.5917253494262695,0.6624157428741455,0.6730800271034241,{'loss': 0.8414008617401123},,,,
0.001,546,,,,,,,,,,,,,
,623,0.5214760899543762,0.7024009227752686,0.6690024733543396,0.737044095993042,7,,,,,,,,
,623,,,,,7,0.585860013961792,0.6549450755119324,0.6814359426498413,{'loss': 0.8459810018539429},,,,
0.001,624,,,,,,,,,,,,,
,701,0.6678766012191772,0.5661641359329224,0.6578730344772339,0.7544885873794556,8,,,,,,,,
,701,,,,,8,0.5864694118499756,0.6689149737358093,0.6776592135429382,{'loss': 0.8627889156341553},,,,
0.001,702,,,,,,,,,,,,,
,779,0.5117967128753662,0.750977098941803,0.6125308871269226,0.8813947439193726,9,,,,,,,,
,779,,,,,9,0.595025897026062,0.656946063041687,0.6840659379959106,{'loss': 0.7351374626159668},,,,
0.001,780,,,,,,,,,,,,,
,857,0.7223230600357056,0.46901172399520874,0.6426215767860413,0.7905565500259399,10,,,,,,,,
,857,,,,,10,0.5906609296798706,0.6621701121330261,0.6771169900894165,{'loss': 0.7551639080047607},,,,
0.001,858,,,,,,,,,,,,,
,935,0.6339988112449646,0.643216073513031,0.6277823448181152,0.8107072114944458,11,,,,,,,,
,935,,,,,11,0.6017521023750305,0.6671556234359741,0.6819651126861572,{'loss': 0.8374630212783813},,,,
0.001,936,,,,,,,,,,,,,
,1013,0.5432546734809875,0.7353433966636658,0.6178895235061646,0.8583701848983765,12,,,,,,,,
,1013,,,,,12,0.6003159284591675,0.6688663959503174,0.6818622946739197,{'loss': 0.7917454242706299},,,,
0.001,1014,,,,,,,,,,,,,
,1091,0.6830006241798401,0.5801228284835815,0.6298433542251587,0.8092648386955261,13,,,,,,,,
,1091,,,,,13,0.6044840216636658,0.6721407771110535,0.6844910979270935,{'loss': 0.7725346088409424},,,,
0.001,1092,,,,,,,,,,,,,
,1169,0.5819721817970276,0.7146845459938049,0.6174773573875427,0.8348129391670227,14,,,,,,,,
,1169,,,,,14,0.6008041501045227,0.6700894832611084,0.6870858073234558,{'loss': 0.7653778791427612},,,,
0.001,1170,,,,,,,,,,,,,
,1247,0.5898366570472717,0.6834170818328857,0.6166529059410095,0.8309022188186646,15,,,,,,,,
,1247,,,,,15,0.6091392636299133,0.6744868159294128,0.6902568936347961,{'loss': 0.7598700523376465},,,,
0.001,1248,,,,,,,,,,,,,
,1325,0.557773768901825,0.7582356333732605,0.5840890407562256,0.9675536155700684,16,,,,,,,,
,1325,,,,,16,0.6073840260505676,0.6683284640312195,0.6893486380577087,{'loss': 0.8386179804801941},,,,
,1326,,,,,17,,,,,0.528795063495636,0.6628537774085999,0.736178457736969,0.756486177444458
,1326,,,,,17,,,,,0.5426497459411621,0.6739251613616943,0.6879637241363525,0.6959482431411743
,1326,,,,,17,,,,,0.5220170617103577,0.31811895966529846,0.6494096517562866,0.34341275691986084
