lr-AdamW,step,val_accuracy_NORMAL,val_accuracy_AMD,val_accuracy_DME,val_loss,epoch,train_accuracy_NORMAL,train_accuracy_AMD,train_accuracy_DME,train_loss,test_accuracy_NORMAL,test_accuracy_AMD,test_accuracy_DME,test_loss
0.001,0,,,,,,,,,,,,,
,77,0.5178463459014893,0.5438302755355835,0.9270403981208801,1.724421501159668,0,,,,,,,,
,77,,,,,0,0.7767241597175598,0.7301377654075623,0.7431296706199646,{'loss': 0.3505845069885254},,,,
0.001,78,,,,,,,,,,,,,
,155,0.6140350699424744,0.8252372741699219,0.9583677053451538,0.7759977579116821,1,,,,,,,,
,155,,,,,1,0.9228337407112122,0.86085045337677,0.912748396396637,{'loss': 0.2742287218570709},,,,
0.001,156,,,,,,,,,,,,,
,233,0.9951603412628174,0.43383583426475525,0.7403132915496826,2.3323769569396973,2,,,,,,,,
,233,,,,,2,0.9426806569099426,0.8970825672149658,0.9380859732627869,{'loss': 0.1709643304347992},,,,
0.001,234,,,,,,,,,,,,,
,311,0.973381757736206,0.7252931594848633,0.8932399153709412,1.3641035556793213,3,,,,,,,,
,311,,,,,3,0.9466953873634338,0.9051597714424133,0.9406724572181702,{'loss': 0.16650068759918213},,,,
0.001,312,,,,,,,,,,,,,
,389,0.9546279311180115,0.8710217475891113,0.866446852684021,0.6394859552383423,4,,,,,,,,
,389,,,,,4,0.9556097984313965,0.9228625893592834,0.9560439586639404,{'loss': 0.14622798562049866},,,,
0.001,390,,,,,,,,,,,,,
,467,0.9570478200912476,0.9061976671218872,0.8206924796104431,0.6493337154388428,5,,,,,,,,
,467,,,,,5,0.958021879196167,0.9314185380935669,0.9581447839736938,{'loss': 0.14119002223014832},,,,
0.001,468,,,,,,,,,,,,,
,545,0.938293993473053,0.7744277119636536,0.9117889404296875,1.0753754377365112,6,,,,,,,,
,545,,,,,6,0.9635109901428223,0.9417803287506104,0.9615384340286255,{'loss': 0.08938465267419815},,,,
0.001,546,,,,,,,,,,,,,
,623,0.9776164293289185,0.7275265455245972,0.8676834106445312,1.3054715394973755,7,,,,,,,,
,623,,,,,7,0.9642344117164612,0.944998562335968,0.9697802066802979,{'loss': 0.14692258834838867},,,,
0.001,624,,,,,,,,,,,,,
,701,0.9667271375656128,0.7576772570610046,0.9031327366828918,1.7004075050354004,8,,,,,,,,
,701,,,,,8,0.9676724076271057,0.9507259130477905,0.9696235060691833,{'loss': 0.13505598902702332},,,,
0.001,702,,,,,,,,,,,,,
,779,0.9600725769996643,0.8911222815513611,0.8215168714523315,0.6511765718460083,9,,,,,,,,
,779,,,,,9,0.9757218956947327,0.9649611711502075,0.9812479615211487,{'loss': 0.10278764367103577},,,,
0.001,780,,,,,,,,,,,,,
,857,0.963702380657196,0.7995533347129822,0.8549051880836487,1.154845952987671,10,,,,,,,,
,857,,,,,10,0.9728409051895142,0.9651026129722595,0.9817417860031128,{'loss': 0.08516436815261841},,,,
0.001,858,,,,,,,,,,,,,
,935,0.9455535411834717,0.7978782653808594,0.9229183793067932,1.420725703239441,11,,,,,,,,
,935,,,,,11,0.9811754822731018,0.9730205535888672,0.9877201318740845,{'loss': 0.057779259979724884},,,,
0.001,936,,,,,,,,,,,,,
,1013,0.947973370552063,0.7688442468643188,0.9394064545631409,1.536870002746582,12,,,,,,,,
,1013,,,,,12,0.9767274856567383,0.9756526947021484,0.9854580760002136,{'loss': 0.057804957032203674},,,,
0.001,1014,,,,,,,,,,,,,
,1091,0.888687252998352,0.9318816065788269,0.7382522821426392,0.29281148314476013,13,,,,,,,,
,1091,,,,,13,0.9837643504142761,0.9783086776733398,0.9880355596542358,{'loss': 0.0748787373304367},,,,
0.001,1092,,,,,,,,,,,,,
,1169,0.8838475346565247,0.926856517791748,0.8759274482727051,0.5545896291732788,14,,,,,,,,
,1169,,,,,14,0.9800229668617249,0.9780058860778809,0.987075924873352,{'loss': 0.0631353110074997},,,,
0.001,1170,,,,,,,,,,,,,
,1247,0.9147005677223206,0.8715801239013672,0.9369332194328308,1.0522135496139526,15,,,,,,,,
,1247,,,,,15,0.9860652089118958,0.9873937368392944,0.989814043045044,{'loss': 0.05945491045713425},,,,
0.001,1248,,,,,,,,,,,,,
,1325,0.9691470265388489,0.839195966720581,0.8359439373016357,1.4278513193130493,16,,,,,,,,
,1325,,,,,16,0.9831920862197876,0.9847484827041626,0.9875565767288208,{'loss': 0.05011415481567383},,,,
0.001,1326,,,,,,,,,,,,,
,1403,0.8548094630241394,0.927973210811615,0.9093157649040222,0.6920627951622009,17,,,,,,,,
,1403,,,,,17,0.9895099997520447,0.9903225898742676,0.9933753609657288,{'loss': 0.044442128390073776},,,,
0.001,1404,,,,,,,,,,,,,
,1481,0.8832426071166992,0.9302065968513489,0.8425391316413879,0.5344487428665161,18,,,,,,,,
,1481,,,,,18,0.9916690587997437,0.9920797944068909,0.9961215257644653,{'loss': 0.005350610241293907},,,,
0.001,1482,,,,,,,,,,,,,
,1559,0.9038112759590149,0.9218313694000244,0.8845836520195007,0.7098212242126465,19,,,,,,,,
,1559,,,,,19,0.9906609058380127,0.9909090995788574,0.9943438768386841,{'loss': 0.04194514825940132},,,,
0.001,1560,,,,,,,,,,,,,
,1637,0.9001814723014832,0.8911222815513611,0.9208573698997498,0.9803851842880249,20,,,,,,,,
,1637,,,,,20,0.9913755655288696,0.9922298789024353,0.9945072531700134,{'loss': 0.01567387953400612},,,,
0.001,1638,,,,,,,,,,,,,
,1715,0.9788264036178589,0.7749860286712646,0.8549051880836487,2.283639907836914,21,,,,,,,,
,1715,,,,,21,0.9923861622810364,0.9941323399543762,0.9948303699493408,{'loss': 0.03203247860074043},,,,
0.001,1716,,,,,,,,,,,,,
,1793,0.7870538234710693,0.9050809741020203,0.9484748840332031,1.1740391254425049,22,,,,,,,,
,1793,,,,,22,0.9918127059936523,0.9948665499687195,0.9948287010192871,{'loss': 0.018491340801119804},,,,
0.001,1794,,,,,,,,,,,,,
,1871,0.9437386393547058,0.8693467378616333,0.8965374827384949,1.4229505062103271,23,,,,,,,,
,1871,,,,,23,0.9933907985687256,0.9941340088844299,0.9956374168395996,{'loss': 0.009708158671855927},,,,
,1872,,,,,24,,,,,0.9391067028045654,0.9935511946678162,0.841475248336792,0.2697623372077942
,1872,,,,,24,,,,,0.888687252998352,0.9318816065788269,0.7382522821426392,0.29281148314476013
,1872,,,,,24,,,,,0.8507462739944458,0.9336099624633789,0.4618874788284302,0.023150905966758728
