lr-AdamW,step,val_accuracy_NORMAL,val_precision_NORMAL,val_accuracy_AMD,val_precision_AMD,val_accuracy_DME,val_precision_DME,val_f1,val_auc,val_loss,epoch,train_accuracy_NORMAL,train_precision_NORMAL,train_accuracy_AMD,train_precision_AMD,train_accuracy_DME,train_precision_DME,train_f1,train_auc,train_loss,test_accuracy_NORMAL,test_precision_NORMAL,test_accuracy_AMD,test_precision_AMD,test_accuracy_DME,test_precision_DME,test_f1,test_auc,test_loss
0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,0.9803797006607056,0.8786159157752991,0.6354166865348816,0.9775639772415161,0.8787425756454468,0.8989281058311462,0.8947945833206177,0.8788291215896606,0.200439453125,0,,,,,,,,,,,,,,,,,,
,46,,,,,,,,,,0,0.9472247362136841,0.8743371963500977,0.6639112830162048,0.8001708388328552,0.8416060209274292,0.9093904495239258,0.8714677095413208,0.8671745657920837,{'loss': 0.2760346233844757},,,,,,,,,
0.001,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,0.7208861112594604,0.971842885017395,0.9479166269302368,0.483014851808548,0.8697604537010193,0.9462541341781616,0.7972874045372009,0.8795269727706909,0.29336172342300415,1,,,,,,,,,,,,,,,,,,
,93,,,,,,,,,,1,0.9701299667358398,0.9186157584190369,0.7876001000404358,0.9143404364585876,0.9189143180847168,0.950017511844635,0.9254072904586792,0.9211808443069458,{'loss': 0.2548464834690094},,,,,,,,,
0.001,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,0.6500000357627869,0.9725379347801208,0.606249988079071,0.9326924085617065,0.976047933101654,0.479411780834198,0.7221407890319824,0.8090009689331055,0.04485790804028511,2,,,,,,,,,,,,,,,,,,
,140,,,,,,,,,,2,0.9758076071739197,0.9373836517333984,0.8426012992858887,0.9261850118637085,0.9349746108055115,0.9658013582229614,0.9423204064369202,0.9397792220115662,{'loss': 0.19633539021015167},,,,,,,,,
0.001,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,187,0.9943037629127502,0.8845720887184143,0.5999999642372131,0.9965397119522095,0.9266467094421387,0.933634877204895,0.9083577394485474,0.8867625594139099,0.18448130786418915,3,,,,,,,,,,,,,,,,,,
,187,,,,,,,,,,3,0.9747180938720703,0.9406667351722717,0.8482922315597534,0.9238070845603943,0.9423337578773499,0.9681128859519958,0.944481372833252,0.9426460266113281,{'loss': 0.1578025221824646},,,,,,,,,
0.001,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,234,0.9449366927146912,0.9607464075088501,0.9083333611488342,0.8180112838745117,0.916167676448822,0.9547581672668457,0.931451678276062,0.9431791305541992,0.2914735674858093,4,,,,,,,,,,,,,,,,,,
,234,,,,,,,,,,4,0.9795418977737427,0.9525337815284729,0.8753834366798401,0.9449681639671326,0.9604817032814026,0.9741958379745483,0.9565325379371643,0.9548582434654236,{'loss': 0.09832514822483063},,,,,,,,,
0.001,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,281,0.9734176993370056,0.9685139060020447,0.90625,0.9119496941566467,0.9446107149124146,0.9517345428466797,0.9545454382896423,0.9577512741088867,0.1497437059879303,5,,,,,,,,,,,,,,,,,,
,281,,,,,,,,,,5,0.9785200357437134,0.9550553560256958,0.886261522769928,0.943842887878418,0.9595942497253418,0.9734178781509399,0.9576545357704163,0.9569005370140076,{'loss': 0.10312987864017487},,,,,,,,,
0.001,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,328,0.9759493470191956,0.9631480574607849,0.8874999284744263,0.9487751722335815,0.9416168928146362,0.9277285933494568,0.9519795179367065,0.953275740146637,0.23560316860675812,6,,,,,,,,,,,,,,,,,,
,328,,,,,,,,,,6,0.9815453886985779,0.9602388739585876,0.8981612920761108,0.9524999260902405,0.9689620733261108,0.9800995588302612,0.9637632966041565,0.9628114700317383,{'loss': 0.12110304087400436},,,,,,,,,
0.001,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,375,0.9835442900657654,0.9545454382896423,0.8395833373069763,0.971084475517273,0.9476047158241272,0.9240875840187073,0.9494134187698364,0.945948600769043,0.14721369743347168,7,,,,,,,,,,,,,,,,,,
,375,,,,,,,,,,7,0.9829244017601013,0.9666948914527893,0.9141103029251099,0.957015872001648,0.9728260636329651,0.9801506400108337,0.9683343172073364,0.9680148363113403,{'loss': 0.1212349459528923},,,,,,,,,
0.001,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,422,0.9177216291427612,0.9764309525489807,0.8958333730697632,0.7832422852516174,0.9505987763404846,0.9149855971336365,0.9219208359718323,0.9420148134231567,0.09785769134759903,8,,,,,,,,,,,,,,,,,,
,422,,,,,,,,,,8,0.9836288690567017,0.970046877861023,0.9216612577438354,0.9589982628822327,0.9769452810287476,0.9819389581680298,0.9710770845413208,0.9710413217544556,{'loss': 0.14213231205940247},,,,,,,,,
0.001,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
