lr-AdamW,step,val_accuracy_NORMAL,val_precision_NORMAL,val_accuracy_AMD,val_precision_AMD,val_accuracy_DME,val_precision_DME,val_f1,val_auc,val_loss,epoch,train_accuracy_NORMAL,train_precision_NORMAL,train_accuracy_AMD,train_precision_AMD,train_accuracy_DME,train_precision_DME,train_f1,train_auc,train_loss,test_accuracy_NORMAL,test_precision_NORMAL,test_accuracy_AMD,test_precision_AMD,test_accuracy_DME,test_precision_DME,test_f1,test_auc,test_loss
0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,0.9110265374183655,0.9190640449523926,0.8125,0.9893454909324646,0.8707360625267029,0.7578125,0.8838028311729431,0.8986290693283081,0.3958682417869568,0,,,,,,,,,,,,,,,,,,
,78,,,,,,,,,,0,0.9241414666175842,0.8123450875282288,0.5543386936187744,0.7807000875473022,0.7313899397850037,0.828023374080658,0.811782956123352,0.8056487441062927,{'loss': 0.29117947816848755},,,,,,,,,
0.001,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,0.9619771242141724,0.9156713485717773,0.8162499666213989,0.9984709024429321,0.8698383569717407,0.8598047494888306,0.9137324690818787,0.9133333563804626,0.2463402897119522,1,,,,,,,,,,,,,,,,,,
,157,,,,,,,,,,1,0.9645375609397888,0.9222191572189331,0.8246771097183228,0.9181122183799744,0.905131459236145,0.9381399750709534,0.9253363013267517,0.9245854616165161,{'loss': 0.1851845681667328},,,,,,,,,
0.001,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,236,0.9528517127037048,0.9575849771499634,0.9549999833106995,0.9249395132064819,0.9075403809547424,0.9182561635971069,0.9421215057373047,0.9524332284927368,0.20027707517147064,2,,,,,,,,,,,,,,,,,,
,236,,,,,,,,,,2,0.9720229506492615,0.9399446845054626,0.8636045455932617,0.9360960721969604,0.9281454682350159,0.9518084526062012,0.9421480894088745,0.9417608976364136,{'loss': 0.16180561482906342},,,,,,,,,
0.001,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,315,0.9482889771461487,0.8919886350631714,0.9862499833106995,0.8227320313453674,0.7001795172691345,0.9885931611061096,0.8941460847854614,0.9048174619674683,0.9035748839378357,3,,,,,,,,,,,,,,,,,,
,315,,,,,,,,,,3,0.974065363407135,0.9462499618530273,0.8835577964782715,0.9416866302490234,0.9343419075012207,0.958311915397644,0.9483781456947327,0.9485129714012146,{'loss': 0.117613285779953},,,,,,,,,
0.001,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,394,0.9779467582702637,0.9572014212608337,0.9200000166893005,0.9620915055274963,0.9084381461143494,0.9267398118972778,0.9507041573524475,0.9525386095046997,0.17158746719360352,4,,,,,,,,,,,,,,,,,,
,394,,,,,,,,,,4,0.9767600297927856,0.9529446959495544,0.8947368264198303,0.9499329924583435,0.9456378221511841,0.9622331261634827,0.954682469367981,0.9547905921936035,{'loss': 0.16593632102012634},,,,,,,,,
0.001,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,473,0.9543725252151489,0.9627924561500549,0.9487500190734863,0.9188861846923828,0.9138240814208984,0.9162916541099548,0.9434419274330139,0.9535431265830994,0.14910386502742767,5,,,,,,,,,,,,,,,,,,
,473,,,,,,,,,,5,0.9786871671676636,0.958985447883606,0.9095116853713989,0.9531020522117615,0.9494296312332153,0.9645200371742249,0.9593304991722107,0.9598661661148071,{'loss': 0.15330666303634644},,,,,,,,,
0.001,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,552,0.4125475585460663,0.9972425699234009,0.8712500333786011,0.8947368264198303,0.9982046484947205,0.4153904318809509,0.6368837952613831,0.8003774285316467,0.001644320785999298,6,,,,,,,,,,,,,,,,,,
,552,,,,,,,,,,6,0.9820308089256287,0.9646555185317993,0.9241360425949097,0.960572361946106,0.9583879709243774,0.973330557346344,0.9660550355911255,0.9664015769958496,{'loss': 0.09393821656703949},,,,,,,,,
0.001,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,631,0.9882130026817322,0.9046292901039124,0.9512500166893005,0.9429988265037537,0.7504487633705139,0.9675926566123962,0.9234155416488647,0.9210510849952698,0.847461462020874,7,,,,,,,,,,,,,,,,,,
,631,,,,,,,,,,7,0.9832201600074768,0.9688657522201538,0.9272574782371521,0.9614152312278748,0.9679993391036987,0.9772728681564331,0.9696398973464966,0.969960629940033,{'loss': 0.09257874637842178},,,,,,,,,
0.001,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,710,0.9231939315795898,0.967330813407898,0.9287499785423279,0.9428934454917908,0.9308796525001526,0.8322631120681763,0.9260563254356384,0.9445048570632935,0.13562597334384918,8,,,,,,,,,,,,,,,,,,
,710,,,,,,,,,,8,0.9843736290931702,0.9717198610305786,0.9351798295974731,0.9640527367591858,0.9703449606895447,0.9794339537620544,0.9722853302955627,0.9727388620376587,{'loss': 0.06525024771690369},,,,,,,,,
0.001,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,789,0.8836502432823181,0.9847458600997925,0.876250147819519,0.9550408720970154,0.9766606688499451,0.7503448128700256,0.9051495790481567,0.9338998198509216,0.040992479771375656,9,,,,,,,,,,,,,,,,,,
,789,,,,,,,,,,9,0.9841351509094238,0.9722856283187866,0.9405163526535034,0.9671091437339783,0.9701057076454163,0.978874683380127,0.9730023741722107,0.973775327205658,{'loss': 0.12401949614286423},,,,,,,,,
0.001,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,868,0.926615834236145,0.9791079759597778,0.8974999785423279,0.9276486039161682,0.9569120407104492,0.8321623802185059,0.9289172887802124,0.9460367560386658,0.09129716455936432,10,,,,,,,,,,,,,,,,,,
,868,,,,,,,,,,10,0.987446665763855,0.9787954688072205,0.9506173133850098,0.9721664786338806,0.978787899017334,0.9836564660072327,0.9788370132446289,0.9793896079063416,{'loss': 0.06256576627492905},,,,,,,,,
0.001,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
