lr-AdamW,step,val_accuracy_NORMAL,val_precision_NORMAL,val_accuracy_AMD,val_precision_AMD,val_accuracy_DME,val_precision_DME,val_f1,val_auc,val_loss,epoch,train_accuracy_NORMAL,train_precision_NORMAL,train_accuracy_AMD,train_precision_AMD,train_accuracy_DME,train_precision_DME,train_f1,train_auc,train_loss,test_accuracy_NORMAL,test_precision_NORMAL,test_accuracy_AMD,test_precision_AMD,test_accuracy_DME,test_precision_DME,test_f1,test_auc,test_loss
0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,0.8525695204734802,0.9665712118148804,0.9527778029441833,0.7259259223937988,0.9421157836914062,0.8930936455726624,0.89208984375,0.9322620630264282,0.1795741617679596,0,,,,,,,,,,,,,,,,,,
,70,,,,,,,,,,0,0.9351697564125061,0.8523808717727661,0.6352407932281494,0.777012825012207,0.7923828363418579,0.8790975213050842,0.8474360704421997,0.8442692160606384,{'loss': 0.23714779317378998},,,,,,,,,
0.001,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,0.951558530330658,0.9361791014671326,0.8194445371627808,0.9983080625534058,0.946107804775238,0.8681317567825317,0.927001953125,0.9301404356956482,0.1993253380060196,1,,,,,,,,,,,,,,,,,,
,141,,,,,,,,,,1,0.9682312607765198,0.9262089729309082,0.822454571723938,0.9166375398635864,0.9169377088546753,0.9484058022499084,0.9299625754356384,0.9282612204551697,{'loss': 0.22217148542404175},,,,,,,,,
0.001,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,0.6996631026268005,0.9799409508705139,0.8375000357627869,0.9885245561599731,0.9950099587440491,0.5566722750663757,0.796142578125,0.8756214380264282,0.022291094064712524,2,,,,,,,,,,,,,,,,,,
,212,,,,,,,,,,2,0.9709519147872925,0.9346910119056702,0.8491889238357544,0.9291809797286987,0.9244328737258911,0.9526730179786682,0.9380778074264526,0.9371088743209839,{'loss': 0.1713726818561554},,,,,,,,,
0.001,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,283,0.9713563323020935,0.9640468955039978,0.9319444298744202,0.9824304580688477,0.9630737900733948,0.9451518058776855,0.96240234375,0.9657964706420898,0.11282512545585632,3,,,,,,,,,,,,,,,,,,
