lr-AdamW,step,val_accuracy_NORMAL,val_precision_NORMAL,val_accuracy_AMD,val_precision_AMD,val_accuracy_DME,val_precision_DME,val_f1,val_auc,val_loss,epoch,train_accuracy_NORMAL,train_precision_NORMAL,train_accuracy_AMD,train_precision_AMD,train_accuracy_DME,train_precision_DME,train_f1,train_auc,train_loss,test_accuracy_NORMAL,test_precision_NORMAL,test_accuracy_AMD,test_precision_AMD,test_accuracy_DME,test_precision_DME,test_f1,test_auc,test_loss
0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,0.32350465655326843,0.9636135697364807,0.8277778029441833,0.9691057205200195,1.0,0.3733234107494354,0.57763671875,0.7641968131065369,0.016810813918709755,0,,,,,,,,,,,,,,,,,,
,70,,,,,,,,,,0,0.9405841827392578,0.8339228630065918,0.5817698836326599,0.7978129982948303,0.7862038016319275,0.8813601136207581,0.8396511673927307,0.8308224678039551,{'loss': 0.2696738541126251},,,,,,,,,
0.001,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,0.9806233644485474,0.9330662488937378,0.8861111998558044,0.952238917350769,0.8892216086387634,0.957035481929779,0.941650390625,0.9394282698631287,0.5072594881057739,1,,,,,,,,,,,,,,,,,,
,141,,,,,,,,,,1,0.9659009575843811,0.9239377379417419,0.8173016905784607,0.9176016449928284,0.9164891839027405,0.9434571862220764,0.927596926689148,0.926172137260437,{'loss': 0.22646726667881012},,,,,,,,,
0.001,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,212,0.9608255624771118,0.9208720922470093,0.9555554986000061,0.8675914406776428,0.8183632493019104,0.9927359819412231,0.925048828125,0.9313136339187622,0.5416216850280762,2,,,,,,,,,,,,,,,,,,
,212,,,,,,,,,,2,0.9722355604171753,0.9336619973182678,0.8413911461830139,0.9293712973594666,0.925331175327301,0.9533781409263611,0.9376650452613831,0.9359540939331055,{'loss': 0.21268542110919952},,,,,,,,,
0.001,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,283,0.8917437791824341,0.9644646644592285,0.8791666626930237,0.9921630620956421,0.9860278367996216,0.7822644710540771,0.91259765625,0.9368799924850464,0.04872184246778488,3,,,,,,,,,,,,,,,,,,
,283,,,,,,,,,,3,0.9760671854019165,0.9451879262924194,0.8790675401687622,0.9421529173851013,0.9352883100509644,0.9634302854537964,0.9490261673927307,0.9482421278953552,{'loss': 0.13279111683368683},,,,,,,,,
0.001,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,354,0.9903116822242737,0.9336775541305542,0.9124999642372131,0.977678656578064,0.8842315077781677,0.9779248833656311,0.95068359375,0.9465259909629822,0.4073115289211273,4,,,,,,,,,,,,,,,,,,
,354,,,,,,,,,,4,0.9770273566246033,0.9526944756507874,0.8923725485801697,0.9451512098312378,0.9476222395896912,0.9670367240905762,0.9548855423927307,0.9548145532608032,{'loss': 0.128875270485878},,,,,,,,,
0.001,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,425,0.9983149766921997,0.8452211022377014,0.875,0.9813084006309509,0.6457085609436035,0.9953846335411072,0.890380859375,0.8770779371261597,0.7947343587875366,5,,,,,,,,,,,,,,,,,,
,425,,,,,,,,,,5,0.9775253534317017,0.9575071930885315,0.9058493375778198,0.9485751390457153,0.9499550461769104,0.966438353061676,0.9581590294837952,0.958747386932373,{'loss': 0.1369299292564392},,,,,,,,,
0.001,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,496,0.9048019647598267,0.9794802069664001,0.9791666269302368,0.8660932779312134,0.9600797891616821,0.8833791017532349,0.931396484375,0.957430362701416,0.12828119099140167,6,,,,,,,,,,,,,,,,,,
,496,,,,,,,,,,6,0.9806028008460999,0.9619885683059692,0.9104408025741577,0.9538235068321228,0.9599775671958923,0.9726261496543884,0.9631932973861694,0.9632692933082581,{'loss': 0.14012199640274048},,,,,,,,,
0.001,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,567,0.9688290357589722,0.9543567895889282,0.9347223043441772,0.9725432991981506,0.929141640663147,0.9366196990013123,0.953125,0.9571372270584106,0.21396397054195404,7,,,,,,,,,,,,,,,,,,
,567,,,,,,,,,,7,0.9820281267166138,0.9659090638160706,0.9196943640708923,0.9582453370094299,0.9665393829345703,0.9767389297485352,0.9672369956970215,0.9674367904663086,{'loss': 0.06842691451311111},,,,,,,,,
0.001,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,638,0.9957876801490784,0.9187718033790588,0.9069443941116333,0.9954267740249634,0.85628741979599,0.9896193146705627,0.946044921875,0.9389752745628357,0.5706213116645813,8,,,,,,,,,,,,,,,,,,
,638,,,,,,,,,,8,0.9842968583106995,0.9716740846633911,0.9320024847984314,0.9644932150840759,0.9740056395530701,0.9802661538124084,0.9725461602210999,0.9728766083717346,{'loss': 0.11644241958856583},,,,,,,,,
0.001,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,709,0.9641953706741333,0.9415878653526306,0.9777778387069702,0.8734492063522339,0.8512973785400391,0.9930151700973511,0.93896484375,0.9464426040649414,0.536867082118988,9,,,,,,,,,,,,,,,,,,
,709,,,,,,,,,,9,0.9850796461105347,0.9745216965675354,0.9413787126541138,0.9659929275512695,0.9745230078697205,0.9816846251487732,0.9748019576072693,0.9754319787025452,{'loss': 0.07831599563360214},,,,,,,,,
0.001,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,780,0.9974727034568787,0.8919020295143127,0.8861111998558044,0.9953197836875916,0.7894211411476135,0.9887499809265137,0.927001953125,0.9170900583267212,1.1864657402038574,10,,,,,,,,,,,,,,,,,,
,780,,,,,,,,,,10,0.9870697259902954,0.9768995642662048,0.9477134346961975,0.9691939353942871,0.9751935601234436,0.9836955666542053,0.9772228002548218,0.9777044653892517,{'loss': 0.06282462179660797},,,,,,,,,
0.001,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,851,0.9245997667312622,0.9690948724746704,0.9916667342185974,0.8132118582725525,0.899201512336731,0.9454354643821716,0.93017578125,0.951572060585022,0.4668191373348236,11,,,,,,,,,,,,,,,,,,
,851,,,,,,,,,,11,0.9894400835037231,0.9815959334373474,0.9565896391868591,0.9729986786842346,0.9820728302001953,0.9887198209762573,0.9818440675735474,0.9822230339050293,{'loss': 0.06255226582288742},,,,,,,,,
0.001,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,922,0.9658803939819336,0.9393691420555115,0.9763888716697693,0.888748288154602,0.8542914390563965,0.9907407164573669,0.9404296875,0.9469937682151794,1.0600175857543945,12,,,,,,,,,,,,,,,,,,
,922,,,,,,,,,,12,0.988010823726654,0.9851985573768616,0.9631480574607849,0.9724106192588806,0.9883526563644409,0.9882420301437378,0.9837146997451782,0.9849151968955994,{'loss': 0.06320679932832718},,,,,,,,,
0.001,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,993,0.88963782787323,0.9746193289756775,0.8097223043441772,0.9898132681846619,0.9820359945297241,0.7343283295631409,0.898193359375,0.9221029281616211,0.044548191130161285,13,,,,,,,,,,,,,,,,,,
,993,,,,,,,,,,13,0.9899225234985352,0.9854722619056702,0.966926634311676,0.9751415848731995,0.9850645661354065,0.9896210432052612,0.9846776723861694,0.9855399131774902,{'loss': 0.04487397149205208},,,,,,,,,
0.001,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1064,0.9877843260765076,0.9331475496292114,0.9597221612930298,0.9517906904220581,0.8473053574562073,0.990665078163147,0.948486328125,0.9473829865455627,0.9086564779281616,14,,,,,,,,,,,,,,,,,,
,1064,,,,,,,,,,14,0.9916844964027405,0.9883967638015747,0.9740787148475647,0.9803552031517029,0.9870830178260803,0.9903087615966797,0.9874559044837952,0.9882555603981018,{'loss': 0.037549324333667755},,,,,,,,,
0.001,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1135,0.7881212830543518,0.9925729036331177,0.9361110329627991,0.9413408637046814,0.9930139183998108,0.6655518412590027,0.8642578125,0.9225120544433594,0.01478441059589386,15,,,,,,,,,,,,,,,,,,
,1135,,,,,,,,,,15,0.992732584476471,0.9899583458900452,0.9770349264144897,0.9837974309921265,0.9893234968185425,0.9909940361976624,0.9891339540481567,0.9898134469985962,{'loss': 0.052600257098674774},,,,,,,,,
0.001,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1206,0.986099362373352,0.9462409019470215,0.9333333373069763,0.9795918464660645,0.9081836342811584,0.9722222685813904,0.957763671875,0.9563050270080566,0.4648981988430023,16,,,,,,,,,,,,,,,,,,
,1206,,,,,,,,,,16,0.9920616149902344,0.9904608130455017,0.9758114814758301,0.9810166358947754,0.9925900101661682,0.9925900101661682,0.989326536655426,0.9901489615440369,{'loss': 0.04913969337940216},,,,,,,,,
,1207,,,,,,,,,,17,,,,,,,,,,0.9310263395309448,0.9810658693313599,0.9570446610450745,0.8896471261978149,0.9756535887718201,0.9152721166610718,0.9465503692626953,0.9640550017356873,0.11797801405191422
,1207,,,,,,,,,,17,,,,,,,,,,0.9048019647598267,0.9794802069664001,0.9791666269302368,0.8660932779312134,0.9600797891616821,0.8833791017532349,0.931396484375,0.957430362701416,0.12828119099140167
,1207,,,,,,,,,,17,,,,,,,,,,0.8805970549583435,0.867647111415863,0.9185084104537964,0.9010840058326721,0.8083561658859253,0.8348969221115112,0.8644801378250122,0.8987003564834595,0.39321255683898926
